Epoch,Loss,Time(s)
1,1.6384737201968727,458.9186313152313
2,1.1700701059587777,488.4102609157562
3,0.9452757080040319,520.4661028385162
4,0.7970080503722285,476.72362446784973
5,0.6817819219644722,466.49361515045166
6,0.5789267549200741,520.9262795448303
7,0.4826231241188086,545.6116511821747
8,0.4026391224749863,541.8892323970795
9,0.3353948316648793,539.4991476535797
10,0.2712586953654847,540.0730903148651
11,0.23508232638544743,539.8128066062927
12,0.19799269866579405,623.4344010353088
13,0.18562449092316963,555.9436156749725
14,0.1749640505646577,542.7628509998322
15,0.1562920878272113,582.4255573749542

Total training time:, 132 minutes, 23 seconds
