Epoch,Loss,Time(s)
1,1.5965592666050357,430.06334471702576
2,1.117567000715324,439.41957116127014
3,0.894299124512831,427.03036308288574
4,0.7337486427229689,432.84009981155396
5,0.6022707671308152,436.452210187912
6,0.4872687820469022,425.89206624031067
7,0.376642279203057,427.4499235153198
8,0.2922621015268747,421.8968970775604
9,0.23634323028518872,425.8068423271179
10,0.19532627543515485,424.6009888648987
11,0.17308121323204406,424.3571631908417
12,0.15112531199917922,424.95155811309814
13,0.14814370814883543,422.5097162723541
14,0.1316751939086172,421.8727960586548
15,0.13958964207747956,422.3301839828491
16,0.11629074475179543,422.8688988685608
17,0.13001108592819147,422.69912552833557
18,0.11971262510558661,422.1410782337189
19,0.11104446866066026,422.7319366931915
20,0.11309897315853973,423.57657504081726

Total training time:, 142 minutes, 1 seconds
